Fake ID,Academic plan code,Academic plan,Degree,Career number,Admit term code,Admit term,Total transferred units,Start effective term code,Start effective term,Completion term code,End effective term code,Semesters,Degree awarded
554,ASSMULMATM,A.A.S. of Multidimensional Mathematics,Associates of Applied Science (AAS),2,1134,Spring 2013,23,1134,Spring 2013,1168,1168,14,AAS
555,ASSINTRELS,A.A. of Interspecies Relations,Associates in Liberal Arts (AA),1,1124,Spring 2012,18,1124,Spring 2012,1142,1142,7,AA
556,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),1,1184,Spring 2018,34,1184,Spring 2018,1212,1212,11,
556,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),2,1154,Spring 2015,58,1154,Spring 2015,1188,1188,14,BA
557,ASSROBENGD,A.A. of Robotic Engineering,Associates in Liberal Arts (AA),1,1138,Fall 2013,43,1138,Fall 2013,1174,1174,14,
557,ASSPACETEC,A.A. of Space Technology,Associates in Liberal Arts (AA),2,1146,Summer 2014,17,1146,Summer 2014,1172,1172,10,AA
557,BALQUAASTY,B.A. of Quantum Astrochemistry,Bachelor of Arts (BA),3,1214,Spring 2021,23,1214,Spring 2021,1226,1226,5,BA
558,BALINTARTY,B.A. of Intergalactic Arts and Culture,Bachelor of Arts (BA),1,1208,Fall 2020,0,1208,Fall 2020,1216,1216,3,BA
558,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),2,1206,Summer 2020,0,1206,Summer 2020,1212,1212,2,BA
559,BALINTENSY,B.S. of Intergalactic Environmental Science,Bachelor of Science (BS),1,1126,Summer 2012,0,1126,Summer 2012,1164,1164,15,
560,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),1,1136,Summer 2013,44,1136,Summer 2013,1174,1174,15,BS
560,BALINTARTY,B.A. of Intergalactic Arts and Culture,Bachelor of Arts (BA),2,1148,Fall 2014,11,1148,Fall 2014,1174,1174,10,
560,ASSINTLAWN,A.A. of Intergalactic Law,Associates in Liberal Arts (AA),3,1056,Summer 2005,64,1056,Summer 2005,1068,1068,5,AA
561,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),1,1188,Fall 2018,52,1188,Fall 2018,1194,1194,2,
561,BALINTMEDY,B.S. of Intergalactic Medicine,Bachelor of Science (BS),2,1114,Spring 2011,21,1114,Spring 2011,1122,1122,3,
562,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),1,1188,Fall 2018,3,1188,Fall 2018,1206,1206,7,BA
563,BALINTMEDY,B.S. of Intergalactic Medicine,Bachelor of Science (BS),1,908,Fall 1990,15,908,Fall 1990,916,916,3,BS
563,ASSROBENGD,A.A. of Robotic Engineering,Associates in Liberal Arts (AA),2,1154,Spring 2015,11,1154,Spring 2015,1182,1182,11,AA
563,ASSPACETEC,A.A. of Space Technology,Associates in Liberal Arts (AA),3,1208,Fall 2020,57,1208,Fall 2020,1234,1234,10,
564,BALINTARTY,B.A. of Intergalactic Arts and Culture,Bachelor of Arts (BA),1,1128,Fall 2012,16,1128,Fall 2012,1176,1176,19,BA
564,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,Associates of Applied Science (AAS),2,1208,Fall 2020,16,1208,Fall 2020,1244,1244,14,
565,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,Bachelor of Arts (BA),1,1164,Spring 2016,47,1164,Spring 2016,1178,1178,6,
566,ASSPACETEC,A.A. of Space Technology,Associates in Liberal Arts (AA),1,1118,Fall 2011,65,1118,Fall 2011,1148,1148,12,
567,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),1,1214,Spring 2021,33,1214,Spring 2021,1224,1224,4,
567,ASSINTRELS,A.A. of Interspecies Relations,Associates in Liberal Arts (AA),2,1204,Spring 2020,16,1204,Spring 2020,1236,1236,13,AA
567,ASSALANGLS,A.A.S. of Alien Languages,Associates of Applied Science (AAS),3,958,Fall 1995,12,958,Fall 1995,992,992,13,
568,BALINTSECY,B.S. of Intergalactic Security,Bachelor of Science (BS),1,1098,Fall 2009,25,1098,Fall 2009,1154,1154,22,BS
569,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),1,1208,Fall 2020,31,1208,Fall 2020,1244,1244,14,BS
570,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),1,1138,Fall 2013,60,1138,Fall 2013,1162,1162,9,
570,ASSINTCOMS,A.A.S. of Intergalactic Communications,Associates of Applied Science (AAS),2,1158,Fall 2015,49,1158,Fall 2015,1176,1176,7,AAS
571,ASSINTRELS,A.A. of Interspecies Relations,Associates in Liberal Arts (AA),1,1078,Fall 2007,0,1078,Fall 2007,1094,1094,6,
571,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),2,1068,Fall 2006,34,1068,Fall 2006,1106,1106,15,BS
572,BALINTENSY,B.S. of Intergalactic Environmental Science,Bachelor of Science (BS),1,1116,Summer 2011,39,1116,Summer 2011,1164,1164,19,BS
572,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,Associates of Applied Science (AAS),2,1124,Spring 2012,54,1124,Spring 2012,1132,1132,3,
573,ASSINTRELS,A.A. of Interspecies Relations,Associates in Liberal Arts (AA),1,1114,Spring 2011,78,1114,Spring 2011,1134,1134,8,
573,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,Associates of Applied Science (AAS),2,1138,Fall 2013,53,1138,Fall 2013,1156,1156,7,AAS
574,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),1,1188,Fall 2018,0,1188,Fall 2018,1214,1214,10,BA
574,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),2,1176,Summer 2017,4,1176,Summer 2017,1204,1204,11,AA
574,ASSINTLAWN,A.A. of Intergalactic Law,Associates in Liberal Arts (AA),3,1116,Summer 2011,28,1116,Summer 2011,1138,1138,9,
575,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,Associates of Applied Science (AAS),1,1134,Spring 2013,25,1134,Spring 2013,1172,1172,15,AAS
576,BALINTSECY,B.S. of Intergalactic Security,Bachelor of Science (BS),1,1178,Fall 2017,68,1178,Fall 2017,1196,1196,7,
577,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),1,1048,Fall 2004,24,1048,Fall 2004,1064,1064,6,AA
577,BALINTMEDY,B.S. of Intergalactic Medicine,Bachelor of Science (BS),2,1038,Fall 2003,31,1038,Fall 2003,1074,1074,14,
578,ASSINTCOMS,A.A.S. of Intergalactic Communications,Associates of Applied Science (AAS),1,1126,Summer 2012,10,1126,Summer 2012,1158,1158,13,AAS
578,BALINTARTY,B.A. of Intergalactic Arts and Culture,Bachelor of Arts (BA),2,1004,Spring 2000,62,1004,Spring 2000,1028,1028,10,
579,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),1,1028,Fall 2002,0,1028,Fall 2002,1074,1074,18,
580,ASSMULMATM,A.A.S. of Multidimensional Mathematics,Associates of Applied Science (AAS),1,1048,Fall 2004,42,1048,Fall 2004,1062,1062,5,AAS
581,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),1,1128,Fall 2012,19,1128,Fall 2012,1138,1138,4,AA
581,ASSINTLAWN,A.A. of Intergalactic Law,Associates in Liberal Arts (AA),2,1068,Fall 2006,0,1068,Fall 2006,1088,1088,8,AA
582,BALINTMEDY,B.S. of Intergalactic Medicine,Bachelor of Science (BS),1,1188,Fall 2018,3,1188,Fall 2018,1246,1246,23,
583,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,Associates of Applied Science (AAS),1,1086,Summer 2008,0,1086,Summer 2008,1118,1118,13,
583,ASSPACETEC,A.A. of Space Technology,Associates in Liberal Arts (AA),2,1194,Spring 2019,56,1194,Spring 2019,1222,1222,11,AA
583,ASSINTLAWN,A.A. of Intergalactic Law,Associates in Liberal Arts (AA),3,1174,Spring 2017,0,1174,Spring 2017,1204,1204,12,
584,ASSINTCOMS,A.A.S. of Intergalactic Communications,Associates of Applied Science (AAS),1,1144,Spring 2014,5,1144,Spring 2014,1158,1158,6,AAS
584,BALINTENSY,B.S. of Intergalactic Environmental Science,Bachelor of Science (BS),2,978,Fall 1997,28,978,Fall 1997,986,986,3,
585,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),1,1134,Spring 2013,27,1134,Spring 2013,1156,1156,9,AAS
585,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),2,1218,Fall 2021,63,1218,Fall 2021,1256,1256,15,AA
585,ASSMULMATM,A.A.S. of Multidimensional Mathematics,Associates of Applied Science (AAS),3,1146,Summer 2014,48,1146,Summer 2014,1156,1156,4,AAS
586,ASSALANGLS,A.A.S. of Alien Languages,Associates of Applied Science (AAS),1,1084,Spring 2008,29,1084,Spring 2008,1096,1096,5,AAS
586,ASSPACETEC,A.A. of Space Technology,Associates in Liberal Arts (AA),2,1128,Fall 2012,16,1128,Fall 2012,1162,1162,13,
587,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),1,1166,Summer 2016,0,1166,Summer 2016,1202,1202,14,BS
588,ASSALANGLS,A.A.S. of Alien Languages,Associates of Applied Science (AAS),1,1208,Fall 2020,28,1208,Fall 2020,1214,1214,2,
588,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,Associates of Applied Science (AAS),2,1164,Spring 2016,0,1164,Spring 2016,1202,1202,15,AAS
588,ASSROBENGD,A.A. of Robotic Engineering,Associates in Liberal Arts (AA),3,1014,Spring 2001,45,1014,Spring 2001,1028,1028,6,AA
589,ASSMULMATM,A.A.S. of Multidimensional Mathematics,Associates of Applied Science (AAS),1,1148,Fall 2014,0,1148,Fall 2014,1174,1174,10,
589,BALINTSECY,B.S. of Intergalactic Security,Bachelor of Science (BS),2,1118,Fall 2011,55,1118,Fall 2011,1136,1136,7,
589,ASSINTLAWN,A.A. of Intergalactic Law,Associates in Liberal Arts (AA),3,1206,Summer 2020,0,1206,Summer 2020,1224,1224,7,
590,BALINTSECY,B.S. of Intergalactic Security,Bachelor of Science (BS),1,1084,Spring 2008,15,1084,Spring 2008,1088,1088,2,
590,ASSINTCOMS,A.A.S. of Intergalactic Communications,Associates of Applied Science (AAS),2,954,Spring 1995,0,954,Spring 1995,974,974,8,AAS
590,BALINTENSY,B.S. of Intergalactic Environmental Science,Bachelor of Science (BS),3,1078,Fall 2007,32,1078,Fall 2007,1116,1116,15,
591,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,Associates of Applied Science (AAS),1,1034,Spring 2003,16,1034,Spring 2003,1052,1052,7,
591,BALINTENSY,B.S. of Intergalactic Environmental Science,Bachelor of Science (BS),2,1174,Spring 2017,3,1174,Spring 2017,1228,1228,22,
591,BALQUAASTY,B.A. of Quantum Astrochemistry,Bachelor of Arts (BA),3,1148,Fall 2014,48,1148,Fall 2014,1152,1152,1,BA
592,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),1,988,Fall 1998,33,988,Fall 1998,1014,1014,10,AAS
592,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),2,1128,Fall 2012,35,1128,Fall 2012,1168,1168,16,
592,BALINTMEDY,B.S. of Intergalactic Medicine,Bachelor of Science (BS),3,1168,Fall 2016,47,1168,Fall 2016,1172,1172,1,
593,BALSPEDESY,B.S. of Space Engineering and Design,Bachelor of Science (BS),1,1156,Summer 2015,30,1156,Summer 2015,1158,1158,1,
593,BALGALECOY,B.A. of Galactic Economics,Bachelor of Arts (BA),2,1224,Spring 2022,29,1224,Spring 2022,1228,1228,2,BA
593,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,Bachelor of Arts (BA),3,1116,Summer 2011,0,1116,Summer 2011,1166,1166,20,
594,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),1,1154,Spring 2015,3,1154,Spring 2015,1172,1172,7,AA
595,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,Associates of Applied Science (AAS),1,1124,Spring 2012,23,1124,Spring 2012,1144,1144,8,AAS
595,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),2,1184,Spring 2018,52,1184,Spring 2018,1196,1196,5,BA
596,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,Associates of Applied Science (AAS),1,1078,Fall 2007,25,1078,Fall 2007,1104,1104,10,
597,BALINTENSY,B.S. of Intergalactic Environmental Science,Bachelor of Science (BS),1,1178,Fall 2017,0,1178,Fall 2017,1244,1244,26,BS
597,ASSINTCOMS,A.A.S. of Intergalactic Communications,Associates of Applied Science (AAS),2,1148,Fall 2014,15,1148,Fall 2014,1178,1178,12,
598,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),1,924,Spring 1992,31,924,Spring 1992,968,968,18,BS
598,ASSPACETEC,A.A. of Space Technology,Associates in Liberal Arts (AA),2,1218,Fall 2021,39,1218,Fall 2021,1238,1238,8,
599,ASSPACETEC,A.A. of Space Technology,Associates in Liberal Arts (AA),1,1154,Spring 2015,20,1154,Spring 2015,1164,1164,4,AA
599,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),2,1068,Fall 2006,45,1068,Fall 2006,1076,1076,3,AAS
599,ASSMULMATM,A.A.S. of Multidimensional Mathematics,Associates of Applied Science (AAS),3,1178,Fall 2017,40,1178,Fall 2017,1182,1182,1,
600,ASSINTRELS,A.A. of Interspecies Relations,Associates in Liberal Arts (AA),1,1074,Spring 2007,50,1074,Spring 2007,1084,1084,4,
601,BALSPEDESY,B.S. of Space Engineering and Design,Bachelor of Science (BS),1,1154,Spring 2015,0,1154,Spring 2015,1162,1162,3,BS
602,BALINTENSY,B.S. of Intergalactic Environmental Science,Bachelor of Science (BS),1,1156,Summer 2015,34,1156,Summer 2015,1186,1186,12,BS
602,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,Bachelor of Arts (BA),2,1178,Fall 2017,36,1178,Fall 2017,1216,1216,15,BA
603,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),1,984,Spring 1998,44,984,Spring 1998,1006,1006,9,
604,ASSPACETEC,A.A. of Space Technology,Associates in Liberal Arts (AA),1,1098,Fall 2009,5,1098,Fall 2009,1122,1122,9,AA
604,ASSMULMATM,A.A.S. of Multidimensional Mathematics,Associates of Applied Science (AAS),2,1054,Spring 2005,12,1054,Spring 2005,1082,1082,11,
604,BALGALECOY,B.A. of Galactic Economics,Bachelor of Arts (BA),3,1204,Spring 2020,17,1204,Spring 2020,1252,1252,19,
605,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),1,1068,Fall 2006,10,1068,Fall 2006,1124,1124,22,BS
605,ASSMULMATM,A.A.S. of Multidimensional Mathematics,Associates of Applied Science (AAS),2,1154,Spring 2015,0,1154,Spring 2015,1162,1162,3,AAS
606,BALSPEDESY,B.S. of Space Engineering and Design,Bachelor of Science (BS),1,1108,Fall 2010,40,1108,Fall 2010,1146,1146,15,
607,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),1,1046,Summer 2004,57,1046,Summer 2004,1086,1086,16,BS
607,BALQUAASTY,B.A. of Quantum Astrochemistry,Bachelor of Arts (BA),2,948,Fall 1994,23,948,Fall 1994,964,964,6,BA
607,BALINTENSY,B.S. of Intergalactic Environmental Science,Bachelor of Science (BS),3,1154,Spring 2015,39,1154,Spring 2015,1168,1168,6,BS
608,ASSINTCOMS,A.A.S. of Intergalactic Communications,Associates of Applied Science (AAS),1,1034,Spring 2003,18,1034,Spring 2003,1042,1042,3,AAS
608,ASSALANGLS,A.A.S. of Alien Languages,Associates of Applied Science (AAS),2,1088,Fall 2008,21,1088,Fall 2008,1106,1106,7,AAS
609,ASSALANGLS,A.A.S. of Alien Languages,Associates of Applied Science (AAS),1,1218,Fall 2021,57,1218,Fall 2021,1226,1226,3,
609,ASSROBENGD,A.A. of Robotic Engineering,Associates in Liberal Arts (AA),2,1226,Summer 2022,17,1226,Summer 2022,1228,1228,1,AA
610,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),1,1056,Summer 2005,76,1056,Summer 2005,1088,1088,13,BS
611,BALQUAASTY,B.A. of Quantum Astrochemistry,Bachelor of Arts (BA),1,1098,Fall 2009,3,1098,Fall 2009,1112,1112,5,BA
611,BALINTENSY,B.S. of Intergalactic Environmental Science,Bachelor of Science (BS),2,1174,Spring 2017,20,1174,Spring 2017,1184,1184,4,
611,BALSPEDESY,B.S. of Space Engineering and Design,Bachelor of Science (BS),3,1118,Fall 2011,64,1118,Fall 2011,1168,1168,20,
612,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),1,1126,Summer 2012,0,1126,Summer 2012,1164,1164,15,BA
612,ASSMULMATM,A.A.S. of Multidimensional Mathematics,Associates of Applied Science (AAS),2,1204,Spring 2020,7,1204,Spring 2020,1226,1226,9,
613,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),1,1166,Summer 2016,0,1166,Summer 2016,1192,1192,10,
614,BALGALECOY,B.A. of Galactic Economics,Bachelor of Arts (BA),1,1104,Spring 2010,47,1104,Spring 2010,1166,1166,25,BA
615,ASSINTRELS,A.A. of Interspecies Relations,Associates in Liberal Arts (AA),1,1178,Fall 2017,52,1178,Fall 2017,1188,1188,4,
615,BALGALECOY,B.A. of Galactic Economics,Bachelor of Arts (BA),2,1188,Fall 2018,51,1188,Fall 2018,1232,1232,17,
615,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),3,1128,Fall 2012,55,1128,Fall 2012,1142,1142,5,AAS
616,BALINTENSY,B.S. of Intergalactic Environmental Science,Bachelor of Science (BS),1,1108,Fall 2010,0,1108,Fall 2010,1174,1174,26,
617,BALINTENSY,B.S. of Intergalactic Environmental Science,Bachelor of Science (BS),1,1098,Fall 2009,15,1098,Fall 2009,1102,1102,1,BS
618,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),1,1184,Spring 2018,25,1184,Spring 2018,1188,1188,2,
618,ASSROBENGD,A.A. of Robotic Engineering,Associates in Liberal Arts (AA),2,1208,Fall 2020,47,1208,Fall 2020,1212,1212,1,
618,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,Associates of Applied Science (AAS),3,1198,Fall 2019,0,1198,Fall 2019,1226,1226,11,AAS
619,BALQUAASTY,B.A. of Quantum Astrochemistry,Bachelor of Arts (BA),1,1184,Spring 2018,0,1184,Spring 2018,1248,1248,26,BA
620,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),1,1094,Spring 2009,1,1094,Spring 2009,1122,1122,11,
620,BALGALECOY,B.A. of Galactic Economics,Bachelor of Arts (BA),2,1018,Fall 2001,41,1018,Fall 2001,1082,1082,25,
620,BALQUAASTY,B.A. of Quantum Astrochemistry,Bachelor of Arts (BA),3,948,Fall 1994,29,948,Fall 1994,964,964,6,BA
621,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),1,948,Fall 1994,5,948,Fall 1994,962,962,5,
622,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),1,1128,Fall 2012,23,1128,Fall 2012,1144,1144,6,AA
622,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,Bachelor of Arts (BA),2,1214,Spring 2021,58,1214,Spring 2021,1258,1258,18,BA
622,BALINTSECY,B.S. of Intergalactic Security,Bachelor of Science (BS),3,1178,Fall 2017,41,1178,Fall 2017,1206,1206,11,BS
623,BALQUAASTY,B.A. of Quantum Astrochemistry,Bachelor of Arts (BA),1,1178,Fall 2017,7,1178,Fall 2017,1244,1244,26,BA
623,ASSINTLAWN,A.A. of Intergalactic Law,Associates in Liberal Arts (AA),2,1068,Fall 2006,19,1068,Fall 2006,1098,1098,12,AA
623,ASSEXTRAST,A.A.S. of Extraterrestrial Studies,Associates of Applied Science (AAS),3,1184,Spring 2018,4,1184,Spring 2018,1222,1222,15,
624,ASSINTCOMS,A.A.S. of Intergalactic Communications,Associates of Applied Science (AAS),1,1166,Summer 2016,20,1166,Summer 2016,1196,1196,12,AAS
624,ASSPACETEC,A.A. of Space Technology,Associates in Liberal Arts (AA),2,1058,Fall 2005,0,1058,Fall 2005,1094,1094,14,
624,BALINTSECY,B.S. of Intergalactic Security,Bachelor of Science (BS),3,1138,Fall 2013,3,1138,Fall 2013,1196,1196,23,
625,ASSINTRELS,A.A. of Interspecies Relations,Associates in Liberal Arts (AA),1,1088,Fall 2008,0,1088,Fall 2008,1126,1126,15,AA
625,BALSPEDESY,B.S. of Space Engineering and Design,Bachelor of Science (BS),2,1018,Fall 2001,7,1018,Fall 2001,1044,1044,10,
626,ASSPACETEC,A.A. of Space Technology,Associates in Liberal Arts (AA),1,1198,Fall 2019,42,1198,Fall 2019,1236,1236,15,
627,BALINTARTY,B.A. of Intergalactic Arts and Culture,Bachelor of Arts (BA),1,1168,Fall 2016,0,1168,Fall 2016,1232,1232,25,
627,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),2,1198,Fall 2019,25,1198,Fall 2019,1246,1246,19,
628,BALINTSECY,B.S. of Intergalactic Security,Bachelor of Science (BS),1,1168,Fall 2016,31,1168,Fall 2016,1176,1176,3,
629,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),1,1176,Summer 2017,7,1176,Summer 2017,1178,1178,1,AA
630,ASSMULMATM,A.A.S. of Multidimensional Mathematics,Associates of Applied Science (AAS),1,1218,Fall 2021,22,1218,Fall 2021,1234,1234,6,
631,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,Associates of Applied Science (AAS),1,1164,Spring 2016,13,1164,Spring 2016,1176,1176,5,
631,ASSPACETEC,A.A. of Space Technology,Associates in Liberal Arts (AA),2,1024,Spring 2002,55,1024,Spring 2002,1028,1028,2,AA
632,BALINTMEDY,B.S. of Intergalactic Medicine,Bachelor of Science (BS),1,1158,Fall 2015,25,1158,Fall 2015,1214,1214,22,
632,BALSPEDESY,B.S. of Space Engineering and Design,Bachelor of Science (BS),2,1218,Fall 2021,57,1218,Fall 2021,1234,1234,6,
633,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,Bachelor of Arts (BA),1,1188,Fall 2018,59,1188,Fall 2018,1254,1254,26,
633,BALINTSECY,B.S. of Intergalactic Security,Bachelor of Science (BS),2,1124,Spring 2012,57,1124,Spring 2012,1136,1136,5,BS
634,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,Associates of Applied Science (AAS),1,964,Spring 1996,5,964,Spring 1996,968,968,2,AAS
635,BALINTSECY,B.S. of Intergalactic Security,Bachelor of Science (BS),1,1218,Fall 2021,0,1218,Fall 2021,1232,1232,5,BS
635,ASSPACETEC,A.A. of Space Technology,Associates in Liberal Arts (AA),2,1106,Summer 2010,69,1106,Summer 2010,1142,1142,14,AA
636,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),1,1154,Spring 2015,24,1154,Spring 2015,1192,1192,15,BA
637,BALINTENSY,B.S. of Intergalactic Environmental Science,Bachelor of Science (BS),1,1124,Spring 2012,44,1124,Spring 2012,1178,1178,22,
637,ASSALANGLS,A.A.S. of Alien Languages,Associates of Applied Science (AAS),2,1208,Fall 2020,0,1208,Fall 2020,1212,1212,1,AAS
637,BALALISTUC,B.A. of Alien Studies and Intercultural Communication,Bachelor of Arts (BA),3,1054,Spring 2005,27,1054,Spring 2005,1076,1076,9,BA
638,BALSPEDESY,B.S. of Space Engineering and Design,Bachelor of Science (BS),1,1158,Fall 2015,16,1158,Fall 2015,1206,1206,19,BS
638,BALQUAASTY,B.A. of Quantum Astrochemistry,Bachelor of Arts (BA),2,1098,Fall 2009,42,1098,Fall 2009,1112,1112,5,
639,BALGALECOY,B.A. of Galactic Economics,Bachelor of Arts (BA),1,1168,Fall 2016,41,1168,Fall 2016,1176,1176,3,BA
639,ASSINTRELS,A.A. of Interspecies Relations,Associates in Liberal Arts (AA),2,964,Spring 1996,29,964,Spring 1996,968,968,2,AA
639,BALSPEDESY,B.S. of Space Engineering and Design,Bachelor of Science (BS),3,1118,Fall 2011,17,1118,Fall 2011,1156,1156,15,
640,ASSALANGLS,A.A.S. of Alien Languages,Associates of Applied Science (AAS),1,1214,Spring 2021,8,1214,Spring 2021,1242,1242,11,
640,BALINTARTY,B.A. of Intergalactic Arts and Culture,Bachelor of Arts (BA),2,1188,Fall 2018,36,1188,Fall 2018,1206,1206,7,BA
640,BALINTMEDY,B.S. of Intergalactic Medicine,Bachelor of Science (BS),3,1224,Spring 2022,52,1224,Spring 2022,1278,1278,22,
641,BALGALECOY,B.A. of Galactic Economics,Bachelor of Arts (BA),1,1174,Spring 2017,48,1174,Spring 2017,1218,1218,18,
641,BALINTMEDY,B.S. of Intergalactic Medicine,Bachelor of Science (BS),2,1128,Fall 2012,50,1128,Fall 2012,1164,1164,14,
642,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,Associates of Applied Science (AAS),1,1128,Fall 2012,0,1128,Fall 2012,1146,1146,7,
642,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),2,1154,Spring 2015,9,1154,Spring 2015,1162,1162,3,
643,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),1,1188,Fall 2018,52,1188,Fall 2018,1212,1212,9,AA
643,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,Associates of Applied Science (AAS),2,1134,Spring 2013,1,1134,Spring 2013,1148,1148,6,AAS
644,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),1,1098,Fall 2009,36,1098,Fall 2009,1148,1148,20,BA
644,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),2,1156,Summer 2015,9,1156,Summer 2015,1172,1172,6,BS
644,BALQUAASTY,B.A. of Quantum Astrochemistry,Bachelor of Arts (BA),3,1148,Fall 2014,30,1148,Fall 2014,1164,1164,6,
645,ASSPACETEC,A.A. of Space Technology,Associates in Liberal Arts (AA),1,1078,Fall 2007,38,1078,Fall 2007,1116,1116,15,AA
645,BALEXOGEOY,B.S. of Exoplanetary Geology,Bachelor of Science (BS),2,1134,Spring 2013,0,1134,Spring 2013,1188,1188,22,
645,BALINTMEDY,B.S. of Intergalactic Medicine,Bachelor of Science (BS),3,1178,Fall 2017,20,1178,Fall 2017,1214,1214,14,
646,ASSINTRELS,A.A. of Interspecies Relations,Associates in Liberal Arts (AA),1,1156,Summer 2015,0,1156,Summer 2015,1162,1162,2,AA
646,BALQUAASTY,B.A. of Quantum Astrochemistry,Bachelor of Arts (BA),2,1218,Fall 2021,44,1218,Fall 2021,1232,1232,5,BA
647,BALINTARTY,B.A. of Intergalactic Arts and Culture,Bachelor of Arts (BA),1,1168,Fall 2016,18,1168,Fall 2016,1182,1182,5,BA
647,BALINTPOCY,B.A. of Intergalactic Politics,Bachelor of Arts (BA),2,1086,Summer 2008,12,1086,Summer 2008,1104,1104,7,
648,ASSROBENGD,A.A. of Robotic Engineering,Associates in Liberal Arts (AA),1,1154,Spring 2015,37,1154,Spring 2015,1192,1192,15,
648,ASSINTBUSN,A.A. of Intergalactic Business,Associates in Liberal Arts (AA),2,1084,Spring 2008,21,1084,Spring 2008,1112,1112,11,AA
649,ASSINTCYBS,A.A.S. of Intergalactic Cybersecurity,Associates of Applied Science (AAS),1,1144,Spring 2014,12,1144,Spring 2014,1158,1158,6,
